StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q21,Q21_DO,Q22,Q22_DO,Q23,Q23_DO,Q24,Q24_DO,Q25,Q25_DO,Q26,Q26_DO,Q27,Q27_DO,Q28,Q28_DO,Q29,Q29_DO,Q30,Q30_DO,Q31,Q31_DO,Q32,Q32_DO,Q33,Q33_DO,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q37_DO,Q38,Q38_DO,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q45_DO,Q46,Q46_DO,Q47,Q47_DO,Q48,Q48_DO,Q49,Q49_DO,Q50,Q50_DO,Q51,Q51_DO,Q52,Q52_DO,Q53,Q53_DO,Q54,Q54_DO,Q55,Q55_DO,Q56,Q56_DO,Q10,Q11,Q12,Q13,SC0,PROLIFIC_PID,block_order_1,block_order_2,block_order_3,block_order_4,block_order_5,block_order_6,Block1_DO,Block2_DO,Block3_DO,Block4_DO,Block5_DO,Block6_DO
7/25/2020 21:04:04,7/25/2020 21:04:28,1,,100,24,1,7/25/2020 21:04:29,R_tGtDau8j7xDFHmF,,,,,35.291595458984375,-80.820098876953125,preview,EN,0.90000000000000000000000000000000000000000000000000000,,,,1|4|5|6|7,,,,,,,,,,,,,,,,,,7|8|9|10|11,,,,,,,,,,,,1|4|5|6|7,,,,,,,,,,,,,,,,1|4|5|6|7,,,,,,,,,,,,,,,,1|4|5|6,,,,,,,4,1,5,3,6,2,Q22,Q31,Q37,Q44,Q48,Q56
7/25/2020 23:03:15,7/25/2020 23:06:37,1,,100,202,1,7/25/2020 23:06:38,R_2vY1YPnbOl3BADf,,,,,38.920806884765625,-77.03600311279296875,preview,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,6,1|4|5|6|7,,,,,,,,,8,1|8|9|10|11,,,,,,,,,,,,,,,5,1|4|5|6|7,,,10,,,,,,,,,,,,,,5,1|4|5|6|7,,,,,,,6,1|4|5|6,,,,,,,4,1,7,2 mins,5,,4,2,3,6,1,5,Q24,Q29,Q37,Q39,Q49,Q53
7/26/2020 7:41:30,7/26/2020 7:42:18,1,,100,47,1,7/26/2020 7:42:18,R_2wp3OQUgV2mkDkA,,,,,35.291595458984375,-80.820098876953125,preview,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,1|4|5|6|7,,,,,,,,,,,,,,,,7|8|9|10|11,,1|4|5|6|7,,,,,,,,,,,,,,,,,,,,1|4|5|6|7,,,,,,,,,,,,,,,,,,,,1|4|5|6,,,,,,,3,4,6,1,5,2,Q24,Q32,Q33,Q41,Q46,Q56
7/26/2020 9:11:15,7/26/2020 9:11:40,0,216.15.28.17,100,24,1,7/26/2020 9:11:40,R_12ombUyEOYNFzDu,,,,,38.920806884765625,-77.03600311279296875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,,6|4|5|1|7,,,,10|9|11|8|4,,,,,,,,,,,,1|4|7|5|6,,,,,,,,,,,,,,,,,,,,,,,,,,6|7|1|5|4,,,,4|7|5|1|6,,,,,,,,,,,,,,5f1745f03565ea0a6d4ff1a1,3,5,4,6,1,2,Q26,Q28,Q34,Q39,Q50,Q52
7/26/2020 9:19:30,7/26/2020 9:19:49,1,,100,18,1,7/26/2020 9:19:49,R_1Iy0HS0xYPA5Xmq,,,,,38.920806884765625,-77.03600311279296875,preview,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,,4|1|6|5|7,,,,,,,,,,,,9|8|10|7|11,,5|4|7|6|1,,,,,,,,,,,,,,,,,,,,,,,,,,4|7|5|6|1,,,,,,,,,,,,5|4|1|7|6,,,,,,,,,3,6,2,5,4,1,Q26,Q32,Q33,Q39,Q49,Q55
7/26/2020 9:29:09,7/26/2020 9:29:40,0,216.15.28.17,100,30,1,7/26/2020 9:29:40,R_12tItVO2cAmplgB,,,,,38.920806884765625,-77.03600311279296875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,,7|4|5|1|6,,12|15|13|14|1,,,,,,,,,,,,,,,,,,,,5|4|7|1|6,,,,,,,,,,,,,,1|4|7|5|6,,,,,,,,,,,,,,,,,,7|1|6|5|4,,,,,,5f1745f03565ea0a6d4ff1a1,4,6,3,2,1,5,Q26,Q27,Q37,Q43,Q47,Q56
7/26/2020 9:32:21,7/26/2020 9:36:39,0,86.247.61.0,100,258,1,7/26/2020 9:36:40,R_3PSMFxWrUIFsWky,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,5,5|7|1|6|4,,,,,,,,,9,11|7|9|8|10,,,,,,,,,,,7,1|4|5|7|6,,,,,,,5,,,,,,,,,,,,5,6|7|4|5|1,,,6,7|6|4|1|5,,,,,,,,,,,2,2,7,6,2,5e81cd3f50a9fd000bd6ba50,1,3,6,2,4,5,Q25,Q30,Q36,Q41,Q49,Q51
7/26/2020 9:33:13,7/26/2020 9:36:54,0,94.173.176.204,100,220,1,7/26/2020 9:36:54,R_21BOPFempTyqM3K,,,,,53.4557952880859375,-1.3755950927734375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,7,7|4|5|6|1,,,,,,,,,,,,,,,8,11|7|8|9|10,,,,,,,,,,,,,5,6|4|5|7|1,,,4,,,,,,,,,,,,5,5|7|6|1|4,,,,,,,,,6,1|7|6|5|4,,,,,2,2,2,5,4,5eece10bafca8009a390438a,6,4,1,5,2,3,Q23,Q31,Q38,Q41,Q49,Q54
7/26/2020 9:33:00,7/26/2020 9:36:59,0,188.37.236.83,100,239,1,7/26/2020 9:36:59,R_BXFGUmoHLjmJbLb,,,,,41.1486053466796875,-8.610992431640625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,7,4|1|6|5|7,,,,,,,,,12,13|1|12|14|15,,,,,,,,,,,,,5,7|1|6|4|5,,,,,,,,,,,,,,1,,,,,,,,,5,7|4|6|1|5,,,,,,,,,,,6,1|5|6|7|4,,,1,1,2,4,4,5ec836e540ce74304ca3e3fe,3,2,4,1,6,5,Q22,Q27,Q34,Q44,Q49,Q55
7/26/2020 9:35:05,7/26/2020 9:38:22,0,188.210.213.60,100,196,1,7/26/2020 9:38:22,R_qQSql2KRFNhhNPH,,,,,53.48089599609375,-2.237396240234375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,6,1|6|7|5|4,,,,,,,,,,,,,8,9|11|7|10|8,,,,,,,,,,,,,5,4|1|6|7|5,,,,,7,,,,5,6|1|4|7|5,,,,,,,,,,,,,6,4|6|1|5|7,,,,,,,,,3,1,7,3,6,5ba8c9ea168e5e0001e4ab6a,1,5,4,3,2,6,Q23,Q30,Q37,Q41,Q45,Q52
7/26/2020 9:32:59,7/26/2020 9:38:22,0,31.152.221.172,100,323,1,7/26/2020 9:38:23,R_3kByZvyPnIoTqpg,,,,,40.6381072998046875,22.94549560546875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,1,7|4|5|1|6,,,,,,,,,,,8,9|7|11|10|8,,,,,,,1,7|6|1|5|4,,,,,,,12,,,,,,5,5|7|4|1|6,,,,,,,,,,,6,1|6|7|4|5,,,,,,,,,,,2,1,3,3-4 minutes ,4,5eea8ba19d0a1a155a3a67f7,5,4,2,1,3,6,Q25,Q31,Q35,Q39,Q45,Q51
7/26/2020 9:33:51,7/26/2020 9:38:26,0,176.103.170.105,100,275,1,7/26/2020 9:38:27,R_3L0keONOpSUt7EG,,,,,53.1240997314453125,20.3795013427734375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,7,5|7|4|6|1,,,,,,,,,,,,,,,,,8,7|10|9|11|8,,,,,,,6,4|6|5|7|1,,,,,,,,,,,,7,5,4|6|5|1|7,,,,,,,,,,,,,6,5|4|6|1|7,,,,,,,,,2,1,2,~  5-7 min,4,5ebade312a57120626f7699a,6,2,1,5,3,4,Q22,Q31,Q35,Q44,Q45,Q52
7/26/2020 9:33:52,7/26/2020 9:38:30,0,89.231.157.174,100,277,1,7/26/2020 9:38:30,R_2YzSyTbZKOQMZKr,,,,,50.2877044677734375,21.4449005126953125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,6,1|5|7|4|6,,,,,8,4|9|8|10|11,,,,,,,,,,,,,,,5,5|6|4|7|1,,,,,,,,7,,,,,,,,,,,5,4|6|5|7|1,,,,,6,4|5|7|1|6,,,,,,,,,2,1,2,5,6,5d139fca3685ba00018998e1,2,6,4,1,5,3,Q25,Q28,Q36,Q42,Q49,Q52
7/26/2020 9:37:29,7/26/2020 9:38:38,0,95.62.122.190,100,69,1,7/26/2020 9:38:38,R_2pQaksyU3kPvfTo,,,,,36.8343963623046875,-2.46099853515625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,7,5|7|4|1|6,,,,,14,1|15|14|12|13,,,,,,,,,,,6,1|5|6|4|7,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,7|6|1|5|4,1,4|1|7|5|6,,,,,,,,,,,2,1,5,,1,5eb4181452ea8022fa26f592,1,4,2,6,3,5,Q24,Q27,Q33,Q44,Q50,Q51
7/26/2020 9:32:30,7/26/2020 9:39:02,0,90.240.172.87,100,391,1,7/26/2020 9:39:02,R_1jHCAMF3M93obOM,,,,,51.1410064697265625,0.8238067626953125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,6,4|7|6|5|1,,,,,,,,,8,10|11|9|8|4,,,,,,,,,,,5,1|5|4|6|7,,,,,,,,,,11,,,,,,,,,,,5,4|5|6|7|1,,,,,,,6,5|1|6|4|7,,,,,,,,,2,2,3,6,6,5d30ed6d8e4586001a6e6423,6,1,2,3,5,4,Q23,Q28,Q34,Q40,Q48,Q52
7/26/2020 9:34:19,7/26/2020 9:39:20,0,31.15.143.251,100,301,1,7/26/2020 9:39:20,R_3ExQfmFsu6ccx7Q,,,,,46.05029296875,14.5045928955078125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,1,7|6|5|1|4,,,,,,,,,,,,,8,8|10|7|11|9,,,,,1,5|6|1|7|4,,,,,,,,,,,,,,6,,,,,,,,,6,6|1|7|4|5,,,,,6,6|1|4|7|5,,,,,,,,,,,3,2,5,7,2,5cacb51dc977f90001fd6eb0,6,4,5,1,2,3,Q23,Q30,Q33,Q42,Q48,Q51
7/26/2020 9:34:22,7/26/2020 9:40:00,0,176.230.142.252,100,337,1,7/26/2020 9:40:00,R_1GxMFg7Wi3elYDP,,,,,32.8159942626953125,34.9821014404296875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,6,5|1|4|6|7,,,,,,,8,7|8|9|11|10,,,,,4,4|6|5|7|1,,,,,,,,,,,,,,4,,,5,4|7|1|5|6,,,,,,,,,,,6,4|5|1|6|7,,,,,,,,,,,2,1,1,5,4,5eec2fe8b069b0429bee707e,2,5,1,6,4,3,Q26,Q30,Q33,Q42,Q45,Q51
7/26/2020 9:37:08,7/26/2020 9:40:08,0,151.224.216.46,100,179,1,7/26/2020 9:40:08,R_2zjU2poyqz7rJKi,,,,,52.0435028076171875,1.1842041015625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,6,1|4|6|7|5,,,,,,,,,,,,,,,,,8,7|11|8|9|10,,,5,6|7|1|4|5,,,,,,,,,,,6,,,,,,,,,,5,6|5|4|1|7,,,,,,,,,,,,,,,6,7|5|4|6|1,3,2,3,3,5,5f102c2298c5b110c443d4cd,2,5,6,1,3,4,Q23,Q32,Q34,Q41,Q48,Q56
7/26/2020 9:36:33,7/26/2020 9:40:08,0,31.0.125.154,100,215,1,7/26/2020 9:40:08,R_2sXgXPyY61eeqMl,,,,,52.2393951416015625,21.03619384765625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,7,1|7|5|6|4,,,,,,,,,,,12,1|14|13|12|15,,,,,,,,,,,,,,,6,1|7|5|4|6,,,,,,,,,,,,7,5,1|5|4|6|7,,,,,,,,,,,,,,,6,6|1|4|7|5,,,,,,,2,1,5,I dont know,4,5e86dbfc6eb6d1000923b5fa,4,3,1,6,5,2,Q21,Q27,Q35,Q44,Q45,Q53
7/26/2020 9:36:00,7/26/2020 9:40:08,0,109.133.45.12,100,248,1,7/26/2020 9:40:09,R_31WPPwwqajus9Qh,,,,,51.24200439453125,4.8231048583984375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,4,7|5|1|4|6,,,,,,,,,,,,,,,,,9,8|9|10|11|7,,,,,,,,,6,4|1|5|6|7,,,,,,,4,,,,,,,,,,,,6,6|1|7|4|5,,,,,,,6,1|4|5|6|7,,,,,,,2,1,2,3,1,5e2c54977916f02702a0ea25,2,1,5,6,3,4,Q22,Q31,Q36,Q41,Q49,Q53
