StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q1,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,PROLIFIC_PID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"If given two six-sided dice, what is the probability that the sum of the two numbers rolled will equal 9?","Sally wants to adopt a pet, but she’s not sure which animal she wants. Her local animal shelter has 10 dogs, 14 cats, 2 hamsters, and 6 rabbits. What is the probability that Sally will not randomly pick a cat or hamster at the shelter?",Q1,What is your age?,What is your gender?,What is your level of education?,How long did it take to complete the survey (in minutes)?,Did you have problems reading any of the questions? Please provide detail.,What is the level of difficulty per question? (In your opinion) - Question 1,What is the level of difficulty per question? (In your opinion) - Question 2,What is the level of difficulty per question? (In your opinion) - Question 3,PROLIFIC_PID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID9""}","{""ImportId"":""QID7""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2020-07-18 09:34:12,2020-07-18 09:34:21,Survey Preview,,100,8,True,2020-07-18 09:34:22,R_3k82OjI4ILGe4Z9,,,,,35.291595458984375,-80.820098876953125,preview,EN,,,,9/20,,,,,,,,,,
2020-07-19 07:25:01,2020-07-19 07:25:24,Survey Preview,,100,22,True,2020-07-19 07:25:25,R_pN31NvwKSjaeJuF,,,,,38.920806884765625,-77.03600311279296875,preview,EN,,,,,,,,,,,,,,
2020-07-19 07:36:00,2020-07-19 07:36:10,Survey Preview,,100,9,True,2020-07-19 07:36:11,R_DFRZWvT2pUbgMdr,,,,,38.920806884765625,-77.03600311279296875,preview,EN,,,,,,,,,,,,,,
2020-07-19 07:40:05,2020-07-19 07:53:07,Survey Preview,,100,781,True,2020-07-19 07:53:07,R_2VfQbY4O0n9PiST,,,,,38.920806884765625,-77.03600311279296875,preview,EN,,,,,,,,,,,,,,
2020-07-21 16:21:55,2020-07-21 16:22:15,Survey Preview,,100,20,True,2020-07-21 16:22:15,R_zTonp2YSiKlfHxL,,,,,38.920806884765625,-77.03600311279296875,preview,EN,,,,,,,,,,,,,,
2020-07-21 16:22:41,2020-07-21 16:22:54,Survey Preview,,100,12,True,2020-07-21 16:22:54,R_12mMe8mrJYotEKM,,,,,38.920806884765625,-77.03600311279296875,preview,EN,,1/9,,,,,,,,,,,,
2020-07-21 17:32:37,2020-07-21 17:32:48,Survey Preview,,100,10,True,2020-07-21 17:32:48,R_ZD1d5TZrzeNTp4Z,,,,,38.920806884765625,-77.03600311279296875,preview,EN,0.90000000000000002220446049250313080847263336181640625,,,,,,,,,,,,,
2020-07-21 17:34:15,2020-07-21 17:35:32,IP Address,174.16.250.250,100,77,True,2020-07-21 17:35:32,R_BzCy7SPZ2PKXI8F,,,,,39.5883941650390625,-105.07759857177734375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,1/6,15/32,9/20,18 to 24 years,Female,Completed some high school,5,,0,0,0,,
2020-07-21 17:34:25,2020-07-21 17:37:38,IP Address,82.45.255.97,100,192,True,2020-07-21 17:37:38,R_2Qig3qop7ksuCKt,,,,,54.9683990478515625,-1.40020751953125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/18,15/32,11/20,25 to 34 years,Male,High school graduate,3 Minutes,Questions were clear.,4,4,3,,
2020-07-21 17:37:05,2020-07-21 17:38:50,IP Address,187.189.10.118,100,105,True,2020-07-21 17:38:50,R_3EbfBZ6iduNBMD0,,,,,22.1367034912109375,-100.9785003662109375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,5/16,11/20,35 to 44 years,Male,Bachelor's degree,3,No,4,4,2,,
2020-07-21 17:41:14,2020-07-21 17:42:58,IP Address,71.197.210.142,100,103,True,2020-07-21 17:42:58,R_233nup5ehN0VpPg,,,,,47.10369873046875,-122.3235015869140625,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,1/24,3/16,3/10,45 to 54 years,Female,Associate degree,5,,4,4,4,,
2020-07-21 17:41:07,2020-07-21 17:43:09,IP Address,177.247.106.134,100,121,True,2020-07-21 17:43:09,R_1l9rkIzIpjLTPB2,,,,,19.2978973388671875,-99.66400146484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/24,15/32,6/10,25 to 34 years,Male,Bachelor's degree,1,no,5,5,5,,
2020-07-21 17:40:15,2020-07-21 17:43:21,IP Address,108.85.61.93,100,186,True,2020-07-21 17:43:22,R_1rBp77fDqLu7bo8,,,,,30.00390625,-90.12290191650390625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,6/10,18 to 24 years,Female,Bachelor's degree,4 minutes,No,4,4,1,,
2020-07-21 17:38:24,2020-07-21 17:43:29,IP Address,149.90.61.51,100,304,True,2020-07-21 17:43:29,R_xFza6VWvW1xpS5X,,,,,41.1486053466796875,-8.610992431640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,9/20,18 to 24 years,Female,Completed some college,4,No,1,2,3,,
2020-07-21 17:38:45,2020-07-21 17:43:47,IP Address,85.241.194.214,100,302,True,2020-07-21 17:43:47,R_22xL1eX6NY2rJ0o,,,,,38.860992431640625,-9.0644989013671875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/6,1/2,9/20,18 to 24 years,Male,Completed some high school,5,"No, I haven't",3,2,0,,
2020-07-21 17:41:32,2020-07-21 17:43:48,IP Address,185.94.249.212,100,136,True,2020-07-21 17:43:48,R_3R3q9h4xYKax2D2,,,,,36.66400146484375,-4.5614013671875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/18,15/32,9/10,35 to 44 years,Female,Bachelor's degree,2,None,3,3,3,,
2020-07-21 17:38:24,2020-07-21 17:44:10,IP Address,203.184.52.189,100,346,True,2020-07-21 17:44:11,R_1gdzWXTkDSiIrcH,,,,,-36.8506011962890625,174.767913818359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,9/20,35 to 44 years,Female,High school graduate,5,no,4,3,2,,
2020-07-21 17:40:00,2020-07-21 17:45:32,IP Address,109.147.39.229,100,331,True,2020-07-21 17:45:32,R_238n3w8qLzMOMju,,,,,52.568206787109375,-1.3444976806640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,9/20,18 to 24 years,Female,Completed some college,4,,1,3,0,,
2020-07-21 17:41:20,2020-07-21 17:46:50,IP Address,83.248.224.16,100,330,True,2020-07-21 17:46:51,R_1DMVHSRUfytaIO8,,,,,59.273101806640625,15.20880126953125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/6,1/2,6/10,35 to 44 years,Female,Completed some high school,about 5 min,No,4,2,2,,
2020-07-21 17:42:52,2020-07-21 17:47:16,IP Address,174.25.28.232,100,263,True,2020-07-21 17:47:16,R_AvxJBRzxXJzxMkh,,,,,45.445098876953125,-122.539703369140625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/18,1/2,11/20,18 to 24 years,Male,Associate degree,9,,5,2,1,,
2020-07-21 17:43:38,2020-07-21 17:47:21,IP Address,90.209.240.193,100,222,True,2020-07-21 17:47:21,R_2dfNLy79jOrw4ZJ,,,,,54.969696044921875,-1.514404296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,6/10,25 to 34 years,Male,Completed some college,5,No,2,1,1,,
2020-07-21 17:41:35,2020-07-21 17:47:56,IP Address,163.47.239.37,100,380,True,2020-07-21 17:47:56,R_2eUA4BUfbpD7Vfn,,,,,-41.2859954833984375,174.77191162109375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/24,1/2,11/20,25 to 34 years,Male,Completed some college,5,No.,4,3,2,,
2020-07-21 17:43:14,2020-07-21 17:48:14,IP Address,174.237.11.85,100,299,True,2020-07-21 17:48:14,R_3PN5qH6o4ZDByBO,,,,,35.078094482421875,-106.65830230712890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,11/20,25 to 34 years,Female,Master's degree,5,No,1,1,0,,
2020-07-21 17:42:59,2020-07-21 17:48:17,IP Address,81.40.195.149,100,317,True,2020-07-21 17:48:17,R_3OiuMcahx82Yhsa,,,,,40.4734954833984375,-3.871795654296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,9/20,18 to 24 years,Male,Completed some college,5,no,1,2,0,,
2020-07-21 17:42:58,2020-07-21 17:48:36,IP Address,89.230.28.232,100,338,True,2020-07-21 17:48:36,R_3IVU17xxMvSHEon,,,,,52.592498779296875,21.44720458984375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/3,3/10,18 to 24 years,Male,High school graduate,3.5 min,no,2,1,1,,
2020-07-21 17:43:17,2020-07-21 17:49:30,IP Address,188.146.97.109,100,372,True,2020-07-21 17:49:30,R_xykYAsh426BP0ch,,,,,52.242401123046875,20.9720001220703125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,15/32,9/10,35 to 44 years,Female,High school graduate,5,A bit,4,4,4,,
2020-07-21 17:38:31,2020-07-21 17:57:08,IP Address,94.60.14.204,100,1116,True,2020-07-21 17:57:08,R_1PdFJFiar8LpG4i,,,,,41.1486053466796875,-8.610992431640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/24,15/32,11/20,18 to 24 years,Female,High school graduate,7,no i did not,1,3,4,,
2020-07-21 16:26:33,2020-07-22 07:46:30,IP Address,216.15.28.17,100,55196,True,2020-07-22 07:46:30,R_2zFLyxlTSrdebii,,,,,38.920806884765625,-77.03600311279296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,,,,,,,,,,,,,
2020-07-22 08:00:38,2020-07-22 08:01:10,Survey Preview,,100,31,True,2020-07-22 08:01:10,R_1k0IGWQNWI1JIqQ,,,,,38.920806884765625,-77.03600311279296875,preview,EN,0.90000000000000002220446049250313080847263336181640625,1/18,,,,,,,,,,,,
2020-07-24 18:29:44,2020-07-24 18:31:11,IP Address,99.131.48.114,100,87,True,2020-07-24 18:31:12,R_3fmWXAzG2Y2kQ0x,,,,,35.7613983154296875,-78.60150146484375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,1/9,15/32,6/10,55 to 64 years,Female,Bachelor's degree,5,no,4,4,4,,
2020-07-24 18:29:31,2020-07-24 18:32:34,IP Address,64.223.201.194,100,183,True,2020-07-24 18:32:35,R_2EG0OWjiRDIpXC9,,,,,44.318603515625,-72.0727996826171875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1/9,1/2,11/20,25 to 34 years,Female,Completed some postgraduate,5,No,3,3,2,,
