StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q1,"There are 10 items of type A, 14 items of type B, 2 items of type C, and 6 items of type D. What is the probability that an item picked at random will not be of type B or of type C?",Q3,What is your age?,What is your gender?,What is your level of education?,How long did it take to complete the survey (in minutes)?,Did you have problems reading any of the questions? Please provide detail.,"What is the level of difficulty per question, with 5 being very difficult? (In your opinion) - Question 1","What is the level of difficulty per question, with 5 being very difficult? (In your opinion) - Question 2","What is the level of difficulty per question, with 5 being very difficult? (In your opinion) - Question 3"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}"
2020-07-19 08:06:40,2020-07-19 08:07:12,IP Address,58.90.128.221,100,31,True,2020-07-19 08:07:12,R_U9GEjKX0fo6QpmV,,,,,34.9857025146484375,135.840301513671875,anonymous,EN,11/20,5/16,1/24,25 to 34 years,Female,Completed some high school,2min,no,2,2,3
2020-07-20 09:07:21,2020-07-20 09:07:44,IP Address,77.204.197.52,100,22,True,2020-07-20 09:07:44,R_2v7JZUt4dqpjOkr,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,,,,,,,,,,,
2020-07-21 07:51:17,2020-07-21 07:51:31,IP Address,77.204.199.57,100,14,True,2020-07-21 07:51:31,R_0HQMfbsF104TGLv,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,,,,,,,,,,,
2020-07-21 08:03:33,2020-07-21 08:07:38,IP Address,185.24.186.4,100,245,True,2020-07-21 08:07:39,R_2R8HScR8sV23Unn,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,,1/2,1/9,35 to 44 years,Female,Master's degree,3,"Yes, I don't understand the answer choice of the question 1.",5,3,3
2020-07-21 07:58:36,2020-07-21 08:18:40,IP Address,185.24.186.4,100,1203,True,2020-07-21 08:18:40,R_2aCBM4n4Z9eb49v,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,3/10,5/16,1/9,25 to 34 years,Female,High school graduate,2,,4,4,4
2020-07-21 08:31:41,2020-07-21 08:35:05,IP Address,185.24.186.5,100,203,True,2020-07-21 08:35:05,R_ODVSTeQSeSUnpqV,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,9/20,1/2,1/9,45 to 54 years,Male,High school graduate,3,no,3,3,3
2020-07-21 08:42:05,2020-07-21 08:45:05,IP Address,193.17.19.233,100,180,True,2020-07-21 08:45:05,R_2EsYhwOUt1lyqDL,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,,1/3,1/18,45 to 54 years,Female,Master's degree,3,yes because i'm not good at all in logic and english is not my mother tong,5,2,3
2020-07-21 09:03:14,2020-07-21 09:18:07,IP Address,193.17.19.232,100,892,True,2020-07-21 09:18:07,R_25TOEHxB6mG0wlk,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Male,Master's degree,5,First question asks for a number of choices but only offers fractions as answers. Took me a few minutes to understand.,3,1,1
